Event Type,Sender,Receiver,Success,Timestamp
LOGIN,user@gmail.com,SYSTEM,False,2026-04-02 23:45:20.492468+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-02 23:45:21.935297+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-02 23:45:26.944211+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-02 23:45:55.195886+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-10 03:38:24.749172+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-10 03:38:28.121543+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-10 03:38:45.835570+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-10 03:41:30.537010+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-10 03:41:34.147946+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-10 03:42:33.301313+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-10 03:43:57.301266+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-12 21:24:31.319925+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-12 21:26:49.959591+00:00
LOGIN,test,SYSTEM,False,2026-04-12 21:57:21.804264+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 21:57:53.124148+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 21:58:04.496187+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 21:58:59.793869+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 21:59:03.539316+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 21:59:12.522422+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 21:59:16.450476+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:00:42.751536+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:08:07.283235+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:08:09.440819+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:08:11.353679+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:08:13.090402+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:08:14.894636+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:10:52.173711+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:11:03.597499+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:11:21.086628+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:11:23.145271+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:11:24.532444+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:12:01.403577+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:12:09.892926+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:12:11.749553+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:16:21.320083+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:16:25.757436+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:16:27.393211+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:16:29.023415+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:16:30.584794+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:17:21.752028+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:17:25.687785+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:19:37.100576+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:19:42.878303+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:19:46.789009+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:21:00.829501+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:23:53.897114+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:23:57.606364+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:24:01.062363+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 22:24:06.771780+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:24:15.249432+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-12 22:24:18.876545+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-12 23:34:58.536993+00:00
REGISTER,SYSTEM,testUser@gmail.com,True,2026-04-13 00:13:22.604651+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-13 00:13:38.804305+00:00
LOGIN,testUser@gmail.com,SYSTEM,True,2026-04-13 00:13:50.241989+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-13 00:14:05.068116+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 01:59:21.480111+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 04:24:05.854650+00:00
SMS,user@gmail.com,testUser@gmail.com,True,2026-04-13 04:24:05.856464+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 04:24:16.196408+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 04:24:28.079121+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 04:30:46.065557+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 04:35:08.171543+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 04:35:26.767980+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 04:35:26.770198+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 04:36:15.558094+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 04:36:15.560115+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 04:36:20.454141+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 04:36:20.455852+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 04:40:02.139255+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 04:40:02.140265+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 04:43:34.309798+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 04:43:34.312448+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-13 19:15:37.933767+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 19:16:03.475801+00:00
