Event Type,Sender,Receiver,Success,Timestamp
LOGIN,testuser,SYSTEM,False,2026-04-03 00:11:54.946294+00:00
LOGIN,testuser1,SYSTEM,True,2026-04-03 00:11:59.946186+00:00
LOGIN,testuser2,SYSTEM,True,2026-04-03 00:12:39.203413+00:00
SMS,testuser2,testuser1,True,2026-04-03 00:12:43.941520+00:00
SMS,testuser2,testuser3,True,2026-04-03 00:12:43.955926+00:00
SMS,testuser2,testeremail1@gmail.com,True,2026-04-03 00:12:43.969335+00:00
SMS,testuser2,JohnDoe@gmail.com,True,2026-04-03 00:12:43.984204+00:00
SMS,testuser2,testuser1,True,2026-04-03 00:14:12.552555+00:00
SMS,testuser2,testuser3,True,2026-04-03 00:14:12.567134+00:00
SMS,testuser2,testeremail1@gmail.com,True,2026-04-03 00:14:12.582157+00:00
SMS,testuser2,JohnDoe@gmail.com,True,2026-04-03 00:14:12.598314+00:00
SMS,testuser1,testuser2,True,2026-04-03 00:14:31.011128+00:00
SMS,testuser1,testuser3,True,2026-04-03 00:14:31.028149+00:00
SMS,testuser1,testeremail1@gmail.com,True,2026-04-03 00:14:31.053362+00:00
SMS,testuser1,JohnDoe@gmail.com,True,2026-04-03 00:14:31.086588+00:00
LOGIN,testuser@gmail.com,SYSTEM,True,2026-04-10 08:21:32.716819+00:00
SMS,testuser@gmail.com,testuser2,True,2026-04-10 08:21:53.238869+00:00
LOGIN,testuser2,SYSTEM,True,2026-04-10 08:22:23.812009+00:00
SMS,testuser2,testuser@gmail.com,True,2026-04-10 08:22:42.491356+00:00
SMS,testuser@gmail.com,testuser2,True,2026-04-10 09:46:49.462544+00:00
SMS,testuser@gmail.com,testeremail1@gmail.com,True,2026-04-10 09:46:49.476286+00:00
SMS,testuser@gmail.com,testuser1,True,2026-04-10 09:47:06.528961+00:00
SMS,testuser@gmail.com,testuser2,True,2026-04-10 09:47:53.508401+00:00
SMS,testuser2,testuser@gmail.com,True,2026-04-10 09:48:01.953760+00:00
LOGIN,testuser@gmail.com,SYSTEM,True,2026-04-16 06:19:35.309396+00:00
LOGIN,testuser5@gmail.com,SYSTEM,False,2026-04-16 06:19:52.770310+00:00
LOGIN,user,SYSTEM,False,2026-04-16 06:20:46.783478+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 06:21:16.052465+00:00
LOGIN,user,SYSTEM,False,2026-04-16 06:22:04.599879+00:00
LOGIN,user,SYSTEM,True,2026-04-16 06:22:20.690913+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 06:51:57.745572+00:00
LOGIN,testuser2,SYSTEM,True,2026-04-16 07:03:14.720170+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 07:03:27.727923+00:00
LOGIN,testuser2,SYSTEM,True,2026-04-16 07:09:44.221299+00:00
REGISTER,SYSTEM,testuser6@gmail.com,True,2026-04-16 07:10:21.644900+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 07:19:20.554953+00:00
LOGIN,testuser2,SYSTEM,True,2026-04-16 07:19:34.966872+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 07:21:53.283145+00:00
LOGIN,testuser5,SYSTEM,True,2026-04-16 08:16:39.206159+00:00
LOGIN,testuser2@gmail.com,SYSTEM,False,2026-04-16 08:19:34.230272+00:00
LOGIN,testuser2@gmail.com,SYSTEM,False,2026-04-16 08:19:35.163232+00:00
LOGIN,testuser1,SYSTEM,False,2026-04-16 08:20:49.572075+00:00
SMS,testuser5,testuser1,True,2026-04-16 08:21:39.597418+00:00
SMS,testuser5,testuser3,True,2026-04-16 08:21:39.611867+00:00
SMS,testuser5,testuser1,True,2026-04-16 08:21:47.276125+00:00
SMS,testuser5,testuser3,True,2026-04-16 08:21:47.289745+00:00
LOGIN,testuser,SYSTEM,False,2026-04-16 08:22:01.946167+00:00
LOGIN,testuser,SYSTEM,False,2026-04-16 08:22:13.705417+00:00
LOGIN,testuser6,SYSTEM,False,2026-04-16 08:24:59.365394+00:00
LOGIN,testuser6@gmail.com,SYSTEM,True,2026-04-16 08:25:13.033415+00:00
SMS,testuser5,testuser1,True,2026-04-16 08:25:38.612698+00:00
SMS,testuser5,testuser6@gmail.com,True,2026-04-16 08:25:38.627533+00:00
SMS,testuser6@gmail.com,testuser1,True,2026-04-16 08:25:45.349522+00:00
SMS,testuser6@gmail.com,testuser5,True,2026-04-16 08:25:45.364365+00:00
